track_id,spotify_id,name,artist,valence,energy,emotion_vector
TRIOREW128F424EAF0,09ZQ5TmUG8TSL56n0knqrj,Mr. Brightside,The Killers,0.2416918429003021,0.918,"[0.2416918429003021, 0.918]"
TRRIVDJ128F429B0E8,06UfBBDISthj1ZJAtX4xjj,Wonderwall,Oasis,0.6555891238670695,0.892,"[0.6555891238670695, 0.892]"
TROUVHL128F426C441,0keNu0t0tqsWtExGM3nT1D,Come as You Are,Nirvana,0.5468277945619335,0.826,"[0.5468277945619335, 0.826]"
TRUEIND128F93038C4,0ancVQ9wEcHVd0RrGICTE4,Take Me Out,Franz Ferdinand,0.49345417925478346,0.664,"[0.49345417925478346, 0.664]"
TRLNZBD128F935E4D8,01QoK9DA7VTeTSE3MNzp4I,Creep,Radiohead,0.10473313192346424,0.43,"[0.10473313192346424, 0.43]"
TRUMISQ128F9340BEE,0FNmIQ7u45Lhdn6RHhSLix,Somebody Told Me,The Killers,0.7089627391742195,0.979,"[0.7089627391742195, 0.979]"
TRVCCWR128F9304A30,08A1lZeyLMWH58DT6aYjnC,Viva la Vida,Coldplay,0.5236656596173213,0.806,"[0.5236656596173213, 0.806]"
TRXOGZT128F424AD74,01puceOqImrzSfKDAcd1Ia,Karma Police,Radiohead,0.3192346424974824,0.505,"[0.3192346424974824, 0.505]"
TRMZXEW128F9341FD5,0GSSsT9szp0rJkBrYkzy6s,The Scientist,Coldplay,0.1742195367573011,0.429,"[0.1742195367573011, 0.429]"
TRUJIIV12903CA8848,0BCPKOYdS2jbQ8iyB56Zns,Clocks,Coldplay,0.256797583081571,0.749,"[0.256797583081571, 0.749]"
TRIODZU128E078F3E2,06zh28PcYIFvNOAz5Wq2Xb,Under the Bridge,Red Hot Chili Peppers,0.5166163141993958,0.49,"[0.5166163141993958, 0.49]"
TRURKLR12903CEBD47,025zyxycElQVXwZSzrvJQr,Seven Nation Army,The White Stripes,0.30715005035246723,0.465,"[0.30715005035246723, 0.465]"
TRYEZGE128F92D04C8,09xrHi86kLkEIzDLZiHNnv,Feel Good Inc.,Gorillaz,0.8378650553877139,0.72,"[0.8378650553877139, 0.72]"
TRUENYK128F4274057,0EIIqshB4doby2sMQpeqGN,Chop Suey!,System of a Down,0.324269889224572,0.925,"[0.324269889224572, 0.925]"
TRXNTMB12903CA884A,0Kk4dfh9Kq7Okg4T58IBVR,Fix You,Coldplay,0.1299093655589124,0.416,"[0.1299093655589124, 0.416]"
TRREXPI128E078EE14,07hCnHx9DhqZg5eN6RvCbd,Lithium,Nirvana,0.4884189325276938,0.656,"[0.4884189325276938, 0.656]"
TRAJBOD128F9303DCD,0g0VHJLFYFN3yHZImyQhPA,Song 2,Blur,0.7844914400805639,0.723,"[0.7844914400805639, 0.723]"
TRFNTDZ128F426B34D,138JuTi1U3WIROalXod9FB,In the End,Linkin Park,0.3726082578046324,0.853,"[0.3726082578046324, 0.853]"
TRCSXPV128F425E2F7,01Jvw9zNg5LM2RF8WNfnLy,Chasing Cars,Snow Patrol,0.12588116817724068,0.568,"[0.12588116817724068, 0.568]"
TRDKPRZ128F92F37EA,0lfH1VLbnBywPOmIMit60M,Otherside,Red Hot Chili Peppers,0.5166163141993958,0.795,"[0.5166163141993958, 0.795]"
TRIQRZJ128F14898B4,028sncWcELBmNBE6RYSRxh,When You Were Young,The Killers,0.3152064451158107,0.981,"[0.3152064451158107, 0.981]"
TRRPNNQ12903CB411A,0v6Mi3f552jMW6dhYoKAbC,Supermassive Black Hole,Muse,0.8429003021148036,0.891,"[0.8429003021148036, 0.891]"
TRRSVFJ128F426FB31,0LiLzOhHCyGnCX1znFrtul,Bohemian Rhapsody,Queen,0.229607250755287,0.405,"[0.229607250755287, 0.405]"
TRWEHTV12903D086FC,03BednbxXIA23kUtR5HMQ9,Use Somebody,Kings of Leon,0.19536757301107754,0.755,"[0.19536757301107754, 0.755]"
TRLSLNY128F93265C9,0hlK03xCSPtLSFJdlZM2kZ,Starlight,Muse,0.2678751258811682,0.88,"[0.2678751258811682, 0.88]"
TRIQWYH128F1486062,0bomiLGPTUNyk3mV19pbwN,Paranoid Android,Radiohead,0.30110775427995967,0.8,"[0.30110775427995967, 0.8]"
TRXZBFS128F92F24D2,07q6QTQXyPRCf7GbLakRPr,Everlong,Foo Fighters,0.36253776435045315,0.867,"[0.36253776435045315, 0.867]"
TRAGABG12903CEC68B,0ijMYjXk5iRZp2VsiC8MC8,No Surprises,Radiohead,0.1188318227593152,0.393,"[0.1188318227593152, 0.393]"
TRBBHPO128F930F55D,0Ik6qKLeS741z2Xl2oy0YS,Iris,Goo Goo Dolls,0.500503524672709,0.715,"[0.500503524672709, 0.715]"
TRXCXKA128F92E6258,0kO3njY9N1Rxgv27Ha1lLh,Numb,Linkin Park,0.24471299093655588,0.863,"[0.24471299093655588, 0.863]"
TRLQLBZ128F42A70F4,01vQXuDFQPIizZb7XE3BqN,Zombie,The Cranberries,0.2668680765357503,0.664,"[0.2668680765357503, 0.664]"
TRJLKMS128F1494A77,0BWx4WKgUXKHj8npThsbcH,Dani California,Red Hot Chili Peppers,0.7351460221550855,0.913,"[0.7351460221550855, 0.913]"
TRUOEWJ128F9345A85,03hLW9osM6UuNqlpwL8XPo,Stairway to Heaven,Led Zeppelin,0.2134944612286002,0.361,"[0.2134944612286002, 0.361]"
TRJVKZX128F4236A44,0Aau2Ju1RoLAhL90zRcDx4,Welcome to the Jungle,Guns N' Roses,0.15508559919436052,0.91,"[0.15508559919436052, 0.91]"
TRUTNPC128F9300385,04ucB3K9gVnynVBkDMdd0T,Clint Eastwood,Gorillaz,0.5599194360523666,0.712,"[0.5599194360523666, 0.712]"
TRCPUIV128E079280D,0hBZCHzVNvboVLWS7aNKRO,Paint It Black,The Rolling Stones,0.6193353474320241,0.793,"[0.6193353474320241, 0.793]"
TROIDPM12903CBDB4D,2hmibAtdObO8F4tnhLENuQ,Reptilia,The Strokes,0.7754279959718027,0.65,"[0.7754279959718027, 0.65]"
TRIPMMN12903CF4B8A,0FTZhIxKaX6HqJA0MvGR16,The Pretender,Foo Fighters,0.3615307150050352,0.958,"[0.3615307150050352, 0.958]"
